"municipio_id_sus","periodo_data","estabelecimento_nome","equipe_nome","cadastro_quantidade","cadastro_criterio_pontuacao"
"355030","01/2022",UBS JARDIM GERMANIA,GERMANIA - AMARELO,3740,false
"355030","01/2022",UBS JARDIM ELIANE,JD. ELIANE VIII,1951,false
"355030","01/2022",UBS JARDIM COMERCIAL,COMERCIAL - LARANJA,3611,false
"355030","01/2022",AMA UBS JARDIM CASTRO ALVES DRA MARIA CRISTINA F,JS CASTRO ALVES IV,2647,false
"355030","01/2022",UBS JD BOA VISTA,EQUIPE 05 BOA VISTA BRANCO,2648,false
"355030","01/2022",UBS DR ILZA WELTMAN HUTZLER,"007",2402,false
"355030","01/2022",UBS JARDIM DOS EUCALIPTOS HELIO MOREIRA SALLES,"4165 - PRIMAVERA",3636,false
"355030","01/2022",UBS GLEBA DO PESSEGO,EQUIPE 01,3102,false
"355030","01/2022",UBS FAZENDA DA JUTA I,"4252 - VERDE",3995,false
"355030","01/2022",UBS COSTA MELO,BEGONIA V,4217,false
"355030","01/2022",UBS CIDADE JULIA,C. JULIA 5,2286,false
"355030","01/2022",UBS CASA VERDE ALTA,EQUIPE 5,2724,false
"355030","01/2022",UBS BARRO BRANCO,LIRIO I,3901,false
"355030","01/2022",UBS AUGUSTO LEOPOLDO AYROSA GALVAO,EQUIPE 006,2840,false
"355030","01/2022",UBS ALTO DO UMUARAMA,ALTO DO UMUARAMA - 04,3516,false
"355030","01/2022",UBS ARRASTAO FRANCISCO SCALAMANDRE SOBRINHO,ARRASTAO - 03 - VERDE,3184,false
"355030","01/2022",UBS BRAS MANOEL SALDIVA NETO,"4032 - EQUIPE B",6055,false
"355030","01/2022",UBS J STA MARIA,EQUIPE 03 AZUL,2720,false
"355030","01/2022",UBS J CAICARA,J CAICARA 7,3167,false
"355030","01/2022",UBS VILA CISPER,EQUIPE 05,4361,false
"355030","01/2022",UBS TEOTONIO VILELA,"4135 - EQUIPE 5",2876,false
"355030","01/2022",UBS V NIVI,EQUIPE 1 UBS VL NIVI,5611,false
"355030","01/2022",UBS JOSE MARCILIO MALTA CARDOSO,EQUIPE 01 LARANJA MALTA CARDOS,3378,false
"355030","01/2022",UBS JOSE MARCILIO MALTA CARDOSO,EQUIPE 02 ROSA MALTA CARDOSO,4180,false
"355030","01/2022",UBS JARDIM TRES CORACOES,JD. TRES CORACOES 10,2068,false
"355030","01/2022",UBS JARDIM TRES CORACOES,JD. TRES CORACOES 09,2550,false
"355030","01/2022",UBS J LOURDES,"4374 EQUIPE 04 - AZUL",3596,false
"355030","01/2022",UBS V DAS BELEZAS ALBERTO AMBROSIO,V DAS BELEZAS 1,3516,false
"355030","01/2022",UBS JD SAO CARLOS CIDADE ADEMAR,SAO CARLOS 1,446,false
"355030","01/2022",UBS JARDIM ORION GUANHEMBU,ORION III,4738,false
"355030","01/2022",AMA UBS VILA PREL ANTONIO BERNARDES DE OLIVEIRA,VILA PREL 02 - VERDE,2792,false
